To,Location 1,Location 2,Location 3,From,Notes,Delivered Notes,Locker Number,Locker Bank,Carrier,Tracking #,Transaction Status ,Routed by,Routed Date Time,Stored Date Time,Delivered by,Delivered To,Delivered Date Time,Stored by,Origin City,Origin State,Origin Zip,Origin Country
,5993,,, Amazon,,,35.0,Bank 5,Amazon,TBA319383027359_,Delivered,,,2/14/25 12:15,,,2/18/25 23:14,,,,,
,6397,,,USPS,,,54.0,Bank 1,USPS,00009302120184900316833399_,Delivered,,,2/18/25 10:11,,,2/18/25 22:45,,,,,US
,5803,,,,,,39.0,Bank 7,USPS,22479400108105463440544682_,Delivered,,,2/18/25 10:24,,,2/18/25 21:45,,,,,US
,4542,,,Ups,,,13.0,Bank 7,UPS,1ZH93Y971214113005_,Delivered,,,2/18/25 11:37,,,2/18/25 21:35,,Sacramento,CA,95835,US
,6218,,,Amre,,,13.0,Bank 5,USPS,9534614852415045806637_,Delivered,,,2/18/25 9:25,,,2/18/25 21:29,,Somers,NY,10589,US
,5917,,,,,,43.0,Bank 4,FedEx,434669328308_,Delivered,,,2/18/25 12:11,,,2/18/25 21:28,,Conklin,NY,,US
,3197,,,Home,,,83.0,Bank 8,USPS,9505506592765043404142_,Delivered,,,2/18/25 9:26,,,2/18/25 21:27,,Peabody,MA,01960,US
,6322,,,Lv,,,28.0,Bank 5,USPS,9261290367755113778481_,Delivered,,,2/18/25 9:37,,,2/18/25 21:07,,Shrewsbury,MA,01546,US
,5271,,,,,,70.0,Bank 7,USPS,9400136208271332430833_,Delivered,,,2/18/25 10:15,,,2/18/25 20:50,,San Bernardino,CA,92408,US
,2207,,,Peppermayo,,,66.0,Bank 7,USPS,9261290316841507669377_,Delivered,,,2/18/25 9:47,,,2/18/25 20:49,,Shrewsbury,MA,01546,US
,6597,,,,,,16.0,Bank 7,Amazon,TBA319321142652_,Delivered,,,2/18/25 12:01,,,2/18/25 20:48,,,,,
,6223,,,Kim,,,40.0,Bank 5,USPS,92001903651784300029997653_,Delivered,,,2/18/25 9:40,,,2/18/25 20:32,,Mayer,MN,55360,US
,6223,,,,,,32.0,Bank 7,FedEx,444844832649_,Delivered,,,2/18/25 12:02,,,2/18/25 20:31,,,,,
,2157,,,,,,14.0,Bank 4,FedEx,285433819567_,Delivered,,,2/18/25 12:12,,,2/18/25 20:29,,,,,
,2157,,,Ups,,,4.0,Bank 4,UPS,1Z0F57320316923934_,Delivered,,,2/18/25 11:30,,,2/18/25 20:28,,Goodyear,AZ,85338,US
,5621,,,Sterling,,,19.0,Bank 7,USPS,92001903470167300222086457_,Delivered,,,2/18/25 9:46,,,2/18/25 20:23,,,,,US
,4185,,,Friend,,,58.0,Bank 5,USPS,9434640104250000473581_,Delivered,,,2/18/25 9:31,,,2/18/25 20:19,,Jackson,MO,63755,US
,2594,,,Omnis,,,73.0,Bank 8,USPS,9405511105503432018722_,Delivered,,,2/18/25 9:29,,,2/18/25 20:14,,Van Nuys,CA,91406,US
,5071,,,Desk,Rear floor,,,,FedEx,777464651981_,Delivered,,7/22/24 12:25,,,,2/18/25 20:14,,Northampton,PA,,US
,5071,,,Couch,"100 pounds ,Rear floor",,,,FedEx,277214814923_,Delivered,,7/23/24 12:04,,,,2/18/25 20:14,,Trenton,NJ,,US
,5071,,,Chair,On rear floor,,,,FedEx,777464651227_,Delivered,,7/23/24 12:06,,,,2/18/25 20:14,,Olive Branch,MS,,US
,5071,,,Couch,Rear floor,,,,FedEx,277214875752_,Delivered,,7/24/24 14:28,,,,2/18/25 20:14,,Trenton,NJ,,US
,5071,,,Amazon,Rack 2,,,,Amazon,TBA315251533976_,Delivered,,8/23/24 12:40,,,,2/18/25 20:14,,,,,
,5071,,,USPS,,,66.0,Bank 2,USPS,9300189690000522491682_,Delivered,,,2/18/25 10:18,,,2/18/25 20:13,,Hebron,KY,41048,US
